iter	Passed	Remaining
0	153	153345
1	157	78553
2	159	52921
3	160	40076
4	164	32759
5	167	27684
6	168	23889
7	169	21023
8	170	18795
9	171	17012
10	172	15550
11	173	14309
12	174	13257
13	175	12357
14	176	11595
15	177	10910
16	178	10295
17	178	9750
18	179	9262
19	180	8825
20	180	8429
21	181	8067
22	182	7733
23	182	7427
24	183	7145
25	184	6897
26	184	6659
27	185	6433
28	185	6225
29	186	6029
30	187	5845
31	187	5673
32	189	5538
33	189	5388
34	190	5244
35	190	5108
36	191	4990
37	192	4878
38	193	4767
39	194	4657
40	194	4551
41	195	4467
42	196	4372
43	197	4280
44	197	4192
45	198	4108
46	198	4027
47	199	3950
48	199	3877
49	200	3806
50	200	3738
51	201	3672
52	201	3608
53	202	3547
54	203	3488
55	203	3431
56	204	3376
57	204	3323
58	205	3272
59	205	3224
60	206	3182
61	207	3139
62	208	3097
63	208	3055
64	209	3018
65	210	2978
66	210	2938
67	211	2899
68	212	2861
69	212	2824
70	213	2788
71	213	2753
72	214	2719
73	214	2687
74	215	2654
75	215	2623
76	216	2593
77	216	2563
78	217	2534
79	217	2506
80	218	2482
81	219	2455
82	219	2426
83	220	2400
84	220	2376
85	221	2352
86	222	2329
87	222	2306
88	223	2284
89	223	2261
90	224	2239
91	224	2218
92	225	2197
93	225	2176
94	226	2156
95	226	2136
96	227	2117
97	227	2098
98	228	2079
99	229	2061
100	229	2043
101	230	2025
102	230	2008
103	231	1991
104	231	1975
105	232	1958
106	232	1942
107	233	1927
108	233	1911
109	234	1896
110	235	1882
111	235	1868
112	236	1855
113	236	1841
114	237	1828
115	238	1814
116	238	1799
117	239	1786
118	239	1773
119	240	1766
120	241	1753
121	241	1740
122	242	1728
123	242	1716
124	243	1704
125	244	1693
126	244	1680
127	245	1669
128	245	1658
129	246	1647
130	246	1636
131	247	1626
132	247	1615
133	248	1604
134	248	1594
135	249	1584
136	249	1574
137	250	1566
138	251	1558
139	252	1549
140	252	1539
141	253	1529
142	253	1520
143	254	1511
144	254	1502
145	255	1493
146	255	1484
147	256	1476
148	256	1467
149	257	1459
150	258	1450
151	258	1442
152	259	1434
153	259	1426
154	260	1418
155	260	1410
156	261	1402
157	261	1395
158	262	1387
159	262	1380
160	263	1371
161	263	1364
162	264	1356
163	264	1350
164	265	1344
165	266	1337
166	266	1331
167	267	1324
168	267	1317
169	268	1311
170	269	1305
171	269	1299
172	270	1292
173	271	1286
174	271	1280
175	272	1274
176	272	1267
177	273	1261
178	273	1255
179	274	1249
180	274	1244
181	275	1238
182	275	1232
183	276	1226
184	277	1220
185	277	1214
186	278	1209
187	279	1205
188	279	1201
189	280	1196
190	281	1191
191	282	1186
192	282	1181
193	283	1176
194	283	1170
195	284	1165
196	284	1160
197	285	1155
198	285	1150
199	286	1145
200	286	1140
201	287	1135
202	287	1130
203	288	1125
204	289	1120
205	289	1116
206	290	1111
207	291	1108
208	291	1104
209	292	1099
210	292	1095
211	293	1090
212	294	1086
213	294	1082
214	295	1078
215	296	1074
216	296	1070
217	297	1065
218	297	1061
219	298	1056
220	298	1052
221	299	1048
222	299	1044
223	300	1040
224	300	1036
225	301	1032
226	301	1027
227	302	1024
228	302	1020
229	303	1016
230	304	1012
231	304	1008
232	305	1004
233	305	1000
234	306	996
235	306	993
236	307	989
237	307	985
238	308	981
239	308	978
240	309	975
241	310	972
242	310	968
243	311	965
244	312	961
245	312	958
246	313	954
247	313	951
248	314	947
249	314	944
250	315	940
251	315	937
252	316	933
253	316	930
254	317	927
255	317	923
256	319	923
257	319	920
258	320	917
259	321	913
260	321	910
261	322	907
262	322	904
263	323	901
264	324	899
265	324	896
266	325	893
267	326	890
268	326	887
269	327	884
270	327	881
271	328	878
272	328	875
273	329	872
274	329	869
275	330	866
276	330	863
277	331	862
278	332	859
279	333	856
280	333	853
281	334	850
282	335	848
283	335	846
284	336	843
285	336	840
286	337	837
287	337	834
288	338	832
289	339	830
290	339	827
291	340	825
292	340	822
293	341	820
294	342	817
295	342	814
296	343	812
297	343	809
298	344	807
299	344	804
300	345	801
301	345	799
302	346	796
303	346	794
304	347	791
305	347	789
306	348	786
307	349	784
308	349	781
309	350	779
310	350	776
311	351	774
312	351	771
313	352	769
314	352	767
315	353	765
316	354	763
317	355	761
318	355	759
319	356	756
320	356	754
321	357	752
322	357	749
323	358	747
324	358	745
325	359	743
326	359	740
327	360	738
328	361	736
329	361	734
330	362	731
331	362	729
332	363	727
333	363	725
334	364	722
335	364	720
336	365	718
337	365	716
338	366	714
339	366	712
340	367	709
341	368	708
342	369	708
343	370	706
344	371	705
345	372	703
346	373	702
347	374	700
348	374	699
349	375	697
350	376	695
351	377	694
352	377	692
353	378	690
354	378	688
355	379	686
356	379	684
357	380	682
358	380	680
359	381	678
360	382	676
361	382	674
362	383	672
363	383	670
364	384	669
365	385	667
366	385	665
367	386	663
368	386	661
369	387	659
370	388	658
371	388	656
372	389	654
373	389	652
374	390	650
375	390	648
376	391	646
377	391	644
378	392	642
379	392	641
380	393	639
381	393	637
382	394	635
383	394	633
384	395	631
385	396	630
386	396	628
387	397	626
388	397	624
389	398	623
390	399	621
391	399	620
392	400	618
393	400	616
394	401	614
395	402	613
396	402	611
397	403	609
398	403	607
399	404	606
400	404	604
401	405	602
402	405	601
403	406	599
404	406	597
405	407	595
406	407	594
407	408	592
408	408	590
409	409	589
410	409	587
411	410	585
412	410	584
413	411	582
414	412	580
415	412	579
416	413	577
417	414	576
418	414	575
419	415	573
420	415	571
421	416	570
422	416	568
423	417	567
424	417	565
425	418	563
426	419	562
427	419	560
428	420	559
429	420	557
430	421	556
431	421	554
432	422	553
433	422	551
434	423	549
435	423	548
436	424	546
437	425	545
438	425	543
439	426	542
440	426	540
441	427	539
442	427	537
443	428	536
444	429	535
445	429	534
446	430	532
447	431	531
448	431	529
449	432	528
450	432	526
451	433	525
452	433	523
453	434	522
454	434	520
455	435	519
456	435	517
457	436	516
458	436	514
459	437	513
460	437	512
461	438	510
462	439	509
463	439	507
464	440	506
465	440	504
466	441	503
467	441	502
468	442	500
469	443	499
470	443	498
471	444	497
472	444	495
473	445	494
474	445	492
475	446	491
476	447	490
477	447	488
478	448	487
479	448	486
480	449	484
481	449	483
482	450	482
483	450	480
484	451	479
485	451	478
486	452	476
487	453	475
488	453	474
489	454	472
490	454	471
491	455	470
492	455	468
493	456	467
494	456	466
495	457	464
496	458	463
497	458	462
498	459	461
499	460	460
500	460	458
501	461	457
502	461	456
503	462	455
504	463	454
505	463	452
506	464	451
507	465	450
508	465	449
509	466	447
510	466	446
511	467	445
512	467	444
513	468	442
514	468	441
515	469	440
516	469	438
517	470	437
518	470	436
519	471	435
520	471	433
521	472	432
522	473	431
523	474	430
524	474	429
525	475	428
526	475	426
527	476	425
528	476	424
529	477	423
530	477	422
531	478	420
532	478	419
533	479	418
534	480	417
535	480	416
536	481	414
